,Date,Open,High,Low,Close,Volume,OpenInt,Weekday,MA10,MA50,Target,UpDown,CrossUpCrossDown
0,2005-02-25,5.691,5.7466,5.6631,5.718999999999999,8139003,0,Friday,,,,False,
1,2005-02-28,5.7003,5.7931,5.6817,5.7003,7967140,0,Monday,,,,True,
2,2005-03-01,5.728,5.8486,5.7003,5.8394,9956793,0,Tuesday,,,,True,
3,2005-03-02,5.8579,5.9784,5.7837,5.9506,7542431,0,Wednesday,,,,False,
4,2005-03-03,5.9784,6.0341,5.9134,5.9321,5585679,0,Thursday,,,,True,
5,2005-03-04,5.9969,6.0247,5.8209,6.0247,6049593,0,Friday,,,,True,
6,2005-03-07,6.0247,6.1915,5.9969,6.1359,7044870,0,Monday,,,,False,
7,2005-03-08,6.1545,6.1545,6.0153,6.0341,3379678,0,Tuesday,,,,False,
8,2005-03-09,6.0061,6.1266,5.9506,5.9506,8029015,0,Wednesday,,,,False,
9,2005-03-10,5.9969,6.0153,5.8671,5.9043,5242471,0,Thursday,,,,True,
10,2005-03-11,5.9043,6.0061,5.9043,5.9876,7816704,0,Friday,5.9348,,,True,
11,2005-03-14,5.9969,6.0896,5.9876,6.0061,8640873,0,Monday,5.96446,,,False,
12,2005-03-15,6.0061,6.1266,5.9692,5.9969,8385479,0,Tuesday,5.9922699999999995,,,False,
13,2005-03-16,6.0153,6.1082,5.9506,5.9692,3450053,0,Wednesday,6.0080100000000005,,,True,
14,2005-03-17,5.9506,6.0896,5.9506,5.9969,5257835,0,Thursday,6.00523,,,True,
15,2005-03-18,6.0247,6.0619,5.9784,6.0061,4588379,0,Friday,6.0080100000000005,,,False,
16,2005-03-21,6.0524,6.0619,5.9598,5.9969,4154771,0,Monday,6.01078,,,False,
17,2005-03-22,5.691,5.9227,5.6726,5.8671,19150232,0,Tuesday,5.96443,,,True,
18,2005-03-23,5.8858,5.9692,5.7837,5.9134,7913075,0,Wednesday,5.9524,,,False,
19,2005-03-24,5.9413,5.9784,5.728,5.7374,7847077,0,Thursday,5.94684,,,False,
20,2005-03-28,5.7466,5.7837,5.5148,5.6169,12454153,0,Monday,5.93107,,,False,
21,2005-03-29,5.5706,5.6169,5.3666,5.412999999999999,9785276,0,Tuesday,5.88844,,,False,
22,2005-03-30,5.4314,5.45,5.135,5.311,12982784,0,Wednesday,5.830970000000001,,,False,
23,2005-03-31,5.311,5.3388,5.0885,5.1442,14823180,0,Thursday,5.760540000000001,,,True,
24,2005-04-01,5.2091,5.3666,5.172000000000001,5.3573,9848945,0,Friday,5.68639,,,False,
25,2005-04-04,5.3573,5.3851,5.2091,5.3482,5750212,0,Monday,5.619649999999999,,,False,
26,2005-04-05,5.3759,5.3945,5.2832,5.2832,5065960,0,Tuesday,5.552,,,True,
27,2005-04-06,5.2832,5.3297,5.2646,5.3018,4004775,0,Wednesday,5.51122,,,True,
